propertyID,name,formerName,streetAddress,city,market,state,lat,lng
74284,Shadow Tree Condominium,,2227 Madison Dr,Arlington,DFW,TX,32.77160592,-97.09861234
74288,Shadowood,,14500 Marsh Ln,Addison,DFW,TX,32.94543457,-96.85553741
74290,The Lex,Shadowridge Village,9701 W Ferris Branch,Dallas,DFW,TX,32.90234953,-96.72586441
74303,Vista del Sol,,2880 Peavy Rd,Dallas,DFW,TX,32.8114357,-96.68273926
74307,Sheffield Square,,2770 Bardin Road,Grand Prairie,DFW,TX,32.67359,-97.04974
74308,Shenandoah,,939 Allegheny Ct,Richardson,DFW,TX,32.94205494,-96.76516011
74309,Bedford Oaks,Shenandoah Village,1400 Shady Ln,Bedford,DFW,TX,32.84565735,-97.14574432
74311,Sheridan Park at Spring Creek,,2001 E Spring Creek,Plano,DFW,TX,33.057327,-96.683105
74319,Villa Del Rio,,1302 N Shiloh,Garland,DFW,TX,32.92455292,-96.66437531
74320,Shiloh Oaks,,2379 Apollo,Garland,DFW,TX,32.95254135,-96.66283417
74322,Colonial Village at Shoal Creek,,2500 Central Park Blvd,Bedford,DFW,TX,32.83191681,-97.12783051
74328,Shorewood Park Townhomes,,1924 Shorewood Dr,Grapevine,DFW,TX,32.95883082,-97.09689975
74330,Sienna Springs,,9455 Skillman,Dallas,DFW,TX,32.90678406,-96.71200562
74334,3800 on Portland,Sierra Point,3800 Portland,Irving,DFW,TX,32.85896,-97.00476
74339,Sierra Vista,,2775 Northaven,Dallas,DFW,TX,32.90516281,-96.88336945
74342,Sierra Vista,,960 Sierra Vista Ct,Midlothian,DFW,TX,32.4731636,-97.00241089
74348,Silver Creek by Norstar,,8359 Harwood Rd,N. Richland Hills,DFW,TX,32.844192,-97.204437
74350,Silver Leaf Villas,,8515 John T White,Fort Worth,DFW,TX,32.76620102,-97.16966248
74353,The Marquis at Silver Oak,,3701 Grapevine Mills Pkwy,Grapevine,DFW,TX,32.97708526,-97.03686252
74358,Silverado,,1319 N Nursery Rd,Irving,DFW,TX,32.82738179,-96.93550117
74360,Silverado,,8400 Stonebrook Pkwy,Frisco,DFW,TX,33.14092636,-96.8105545
74361,Sedona Ridge,,11100 Walnut Hill Lane,Dallas,DFW,TX,32.877834,-96.689971
74362,Silverbrook,,2934 Aloutte,Grand Prairie,DFW,TX,32.70305134,-97.05910675
74367,Silverwood,,1135 S ilverwood,Arlington,DFW,TX,32.76560448,-97.06542067
74381,Skyline Place,,4700 Wimbleton Way,Dallas,DFW,TX,32.77975082,-96.68637848
74384,Sleepy Hollow,,3903 Ichabod Cir,Arlington,DFW,TX,32.71128845,-97.16735077
74385,Smith Creek,,4791 W Ledbetter,Dallas,DFW,TX,32.69298553,-96.90301514
74386,Pinehurst Place,,2101 Pinehurst Lane,Mesquite,DFW,TX,32.83766556,-96.63465118
74388,The Brooklyn at 9590,Snug Harbor,9590 Forest Ln,Dallas,DFW,TX,32.90789,-96.726272
74391,Soho,,7610 Skillman,Dallas,DFW,TX,32.886295,-96.732803
74394,Somerset,,256 E Corporate Dr,Lewisville,DFW,TX,33.01121902,-96.98980713
74395,Somerset,,4418 Travis,Dallas,DFW,TX,32.820922,-96.791336
74397,Somerset at Spring Creek,,3801 W Spring Creek Pkwy,Plano,DFW,TX,33.058567,-96.767311
74404,Alena,Sonoma at Hillcrest,7050 Arapaho,Dallas,DFW,TX,32.961425,-96.78791
74406,Sonsrena,,9425 Rolater Rd,Frisco,DFW,TX,33.13702393,-96.8000946
74408,Sonterra at Buckingham,,530 Buckingham,Richardson,DFW,TX,32.9339447,-96.7229538
74415,South Gate Manor,,1200 E Seminary,Fort Worth,DFW,TX,32.68371964,-97.3116684
74431,Southdale,,3727 Dixon Ave,Dallas,DFW,TX,32.76316568,-96.7364417
74432,Mark at 2600,Southern Hills,2624 Southern Hills Blvd,Arlington,DFW,TX,32.78194785,-97.06313208
74434,Southern Oaks,,5500 S Hulen,Fort Worth,DFW,TX,32.66973877,-97.40140533
74437,The Chelsea on Southern,Southern Villas,5383 Southern Blvd,Dallas,DFW,TX,32.936595,-96.816123
